央视频道,#genre#
CCTV1,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225501/2/index.m3u8
CCTV2,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225500/2/index.m3u8
CCTV3,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225634/2/index.m3u8
CCTV4,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225621/2/index.m3u8
CCTV5,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225633/2/index.m3u8
CCTV5+,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225649/2/index.m3u8
CCTV6,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225632/2/index.m3u8
CCTV7,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225499/2/index.m3u8
CCTV8,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225631/2/index.m3u8
CCTV9,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225626/2/index.m3u8
CCTV10,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225496/2/index.m3u8
CCTV11,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225628/2/index.m3u8
CCTV12,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225495/2/index.m3u8
CCTV13,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225638/2/index.m3u8
CCTV14,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225494/2/index.m3u8
CCTV15,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225641/2/index.m3u8
CCTV16,http://[2409:8087:2001:20:2800:0:df6e:eb18]/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
CCTV17,http://[2409:8087:3869:8021:1001::e5]:6610/PLTV/88888888/224/3221225907/2/index.m3u8
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb02]/ott.mobaibox.com/PLTV/4/224/3221228149/index.m3u8
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227467/index.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227725/index.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221228213/index.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:5011:1020::1a]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::1b]/180000001001/00000001000000001001000000000036/main.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:5011:1020::1b]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::1c]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::1d]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::1e]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::2a]/180000001001/00000001000000001001000000000036/main.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:5011:1020::2a]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::2b]/180000001001/00000001000000001001000000000036/main.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:5011:1020::2b]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::2c]/180000001001/00000001000000001001000000000036/main.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:5011:1020::2c]/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://[2409:8087:5011:1020::2d]/180000001001/00000001000000001001000000000036/main.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:5011:1020::2e]/180000001001/00000001000000001001000000000036/main.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:5011:1020::2f]/180000001001/00000001000000001001000000000036/main.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:5050:20::3023]/0000000000001001/1/index.m3u8?Contentid=1000000001000021973&livemode=1&stbId=2&channel-id=ystenlive
CCTV1,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000036/main.m3u8?blog.ntnas.top
CCTV1,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV1,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV1,http://117.169.124.149:8080/live/cctv-1/1.m3u8
CCTV1,http://221.2.36.34:8888/newlive/live/hls/2/live.m3u8
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV1,http://39.184.224.99:9080/newlive/live/hls/1/live.m3u8
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8?blog.ntnas.top
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8?blog.ntnas.top
CCTV1,https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000
CCTV2,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8?blog.ntnas.top
CCTV2,http://[2409:8087:4400:20:1:a0f:11:9]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226569/index.m3u8
CCTV2,http://[2409:8087:5011:1020::1a]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT
CCTV2,http://[2409:8087:5011:1020::1b]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT
CCTV2,http://[2409:8087:5011:1020::1c]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT
CCTV2,http://[2409:8087:5011:1020::1e]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT
CCTV2,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT
CCTV2,http://[2409:8087:5011:1020::2a]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT
CCTV2,http://[2409:8087:5011:1020::2b]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT
CCTV2,http://[2409:8087:5011:1020::2c]/180000001001/00000001000000001001000000000050/main.m3u8?IASHttpSessionId=OTT
CCTV2,http://[2409:8087:5050:20::3023]/0000000000001001/1/index.m3u8?Contentid=1000000001000023315&livemode=1&stbId=2&channel-id=ystenlive
CCTV2,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000050/main.m3u8?blog.ntnas.top
CCTV2,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001332/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV2,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV2,http://117.169.121.162:6610/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://117.169.121.162:6610/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://117.169.124.149:8080/live/cctv-2/1.m3u8
CCTV2,http://218.29.55.44:808/hls/2/index.m3u8
CCTV2,http://221.2.36.34:8888/newlive/live/hls/3/live.m3u8
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000
CCTV3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV3,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221227546/index.m3u8?blog.ntnas.top
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221228188/index.m3u8?blog.ntnas.top
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8
CCTV3,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8
CCTV3,http://[2409:8087:4400:20:1:a0f:11:9]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226614/index.m3u8
CCTV3,http://[2409:8087:5011:1020::1a]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://[2409:8087:5011:1020::1b]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://[2409:8087:5011:1020::1c]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://[2409:8087:5011:1020::1d]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://[2409:8087:5011:1020::1e]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://[2409:8087:5011:1020::2a]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://[2409:8087:5011:1020::2b]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://[2409:8087:5011:1020::2c]/180000001001/00000001000000001001000000000051/main.m3u8?IASHttpSessionId=OTT
CCTV3,http://[2409:8087:5050:20::3023]/0000000000001001/1/index.m3u8?Contentid=1000000001000011218&livemode=1&stbId=2&channel-id=ystenlive
CCTV3,http://[2409:8087:5050:20::3023]/0000000000001001/1/index.m3u8?Contentid=1000000001000013682&livemode=1&stbId=2&channel-id=ystenlive
CCTV3,http://[2409:8087:5050:20::3023]/180000001001/00000001000000001001000000000051/main.m3u8?blog.ntnas.top
CCTV3,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
